Symbol	log2FC_SAF1_SAF2.arc	pvalue_SAF1_SAF2.arc	padj_SAF1_SAF2.arc	log2FC_SAF1_SAF3.arc	pvalue_SAF1_SAF3.arc	padj_SAF1_SAF3.arc	log2FC_SAF2_SAF3.arc	pvalue_SAF2_SAF3.arc	padj_SAF2_SAF3.arc	Row.names	log2FC_SAF1_SAF2.all	pvalue_SAF1_SAF2.all	padj_SAF1_SAF2.all	log2FC_SAF1_SAF3.all	pvalue_SAF1_SAF3.all	padj_SAF1_SAF3.all	log2FC_SAF2_SAF3.all	pvalue_SAF2_SAF3.all	padj_SAF2_SAF3.all
RMND5A	-0.278829260831672	0.0905990315476412	0.498982365654954	-0.441721438665716	0.00657513006666511	0.0867468681687066	-0.162892177834044	0.273444711826671	0.962939555184773	RMND5A	-0.177502942935274	0.0246030988369606	0.565685857427288	-0.300201720971437	0.000481635993348959	0.0339458001846986	-0.122698778036164	0.12766665034793	0.999858517549214
RUNX3	0.589247076644563	0.0270200008276229	0.331969505959993	0.826687390438004	0.00148483010072221	0.0408732706130712	0.23744031379344	0.315157105920544	0.963195811776739	RUNX3	0.256293191743075	0.0513212942709054	0.695867872890363	0.597419577829062	3.81768114830075e-05	0.00851884827777973	0.341126386085987	0.0115270811686057	0.876089988654418
S100A3	0.772619867561889	0.0200801239899748	0.292298018862297	1.89027174674743	4.59739820298141e-07	0.0008322110816208	1.11765187918554	0.000575655711483931	0.509059541361634	S100A3	0.629567483636054	0.00956914562696737	0.420643156637944	0.990333185703457	0.000137603210624243	0.0170323258549839	0.360765702067403	0.129226921873933	0.999858517549214
S100A4	0.906469312298679	0.00907184534153149	0.210776093007381	1.78104286243679	4.80564174963007e-06	0.00244221759484561	0.874573550138113	0.00912948914490005	0.751196382316557	S100A4	0.63946579331108	0.010802315938038	0.438155475811531	0.993800947571944	0.000242670318914677	0.0233439008810018	0.354335154260865	0.15669447679856	0.999858517549214
S1PR5	0.672144624454435	0.076076826854559	0.471696329169656	0.955260694717357	0.00934671240526499	0.10504101177291	0.283116070262922	0.400274549094227	0.963195811776739	S1PR5	0.143215031348747	0.50688977025043	0.988245312633705	0.713223516443225	0.00213616654892893	0.0705628843552231	0.570008485094478	0.0105514827855803	0.871273352959705
SAPCD2	1.1880451259121	0.0050413290741974	0.164733868523831	1.58705520231854	8.56266733126471e-05	0.00961533175159241	0.399010076406438	0.263021113973897	0.962939555184773	SAPCD2	0.424408813258427	0.0883597086269565	0.794177507400239	0.911344308219981	0.000588671606972199	0.0372485229709476	0.486935494961554	0.049172169369473	0.999858517549214
SBK1	0.420702644884373	0.206934937314287	0.644349125893453	1.00262778278907	0.00237657700407937	0.0507182323238597	0.581925137904698	0.0654544911346886	0.910844478379666	SBK1	0.331105784376076	0.0733142888983149	0.756359080467616	0.981467814497989	1.83799490124901e-06	0.00119570424814994	0.650362030121913	0.000636499534072358	0.45105675316542
SC5D	-0.207617837331655	0.421115373581374	0.78991931867995	-0.698126957630263	0.00619330607382695	0.0843398341083518	-0.490509120298608	0.0408879136738708	0.881422603436638	SC5D	-0.329208332042855	0.0164909182398773	0.487097931496127	-0.656559057092163	1.89487344119759e-05	0.00597473301918068	-0.327350725049308	0.0211123312773794	0.962516255804158
SCAI	-0.220360774245313	0.307011332684481	0.722013403808052	-0.511830166524275	0.0170890588279789	0.146943841685218	-0.291469392278962	0.150118492344416	0.93019790535948	SCAI	-0.0822145965237275	0.395355310479095	0.98414021657014	-0.367246489785388	0.000600571729943172	0.037666694798242	-0.28503189326166	0.0055383333118761	0.790983676171008
SCN7A	-0.14464020037235	0.755878218780298	0.926849893190262	-0.460254079128572	0.31697118821277	0.664123403231525	-0.315613878756222	0.497022991578969	0.96816676247843	SCN7A	-0.65107017202743	0.0115354021751081	0.451180002107182	-0.859906678471367	0.0020713406878638	0.0698545249482911	-0.208836506443936	0.433780298452961	0.999858517549214
SCN8A	0.36628439864026	0.222359549237218	0.656653553688276	0.942497419586257	0.00199081378766593	0.0460261834668059	0.576213020945996	0.0402000759104861	0.881422603436638	SCN8A	0.282873524086146	0.0938527752163724	0.813370096997002	0.635729602665909	0.000473667660775831	0.0335533744341414	0.352856078579763	0.0385799896852546	0.999858517549214
SCX	0.467158516987816	0.0505790468185407	0.412568782071448	0.59925842372729	0.00853802665725741	0.099921041500029	0.132099906739474	0.535074654354724	0.973272449974263	SCX	0.368548729702109	0.0129793252331579	0.459608109501036	0.49103446574854	0.00181957092350891	0.0648793397944207	0.122485736046431	0.406612748905814	0.999858517549214
