Symbol	log2FC_SAF1_SAF2.arc	pvalue_SAF1_SAF2.arc	padj_SAF1_SAF2.arc	log2FC_SAF1_SAF3.arc	pvalue_SAF1_SAF3.arc	padj_SAF1_SAF3.arc	log2FC_SAF2_SAF3.arc	pvalue_SAF2_SAF3.arc	padj_SAF2_SAF3.arc	log2FC_SAF1_SAF2.all	pvalue_SAF1_SAF2.all	padj_SAF1_SAF2.all	log2FC_SAF1_SAF3.all	pvalue_SAF1_SAF3.all	padj_SAF1_SAF3.all	log2FC_SAF2_SAF3.all	pvalue_SAF2_SAF3.all	padj_SAF2_SAF3.all
MFSD2A	1.89801590009819	0.00182932194934288	0.105215757159562	1.96519099401581	0.000621234542355305	0.0241425565527	0.0671750939176245	0.884470384614364	0.990893609116139	0.563775964011539	0.0646739929823888	0.738263370345523	0.797837293744914	0.012064567810352	0.16116090001707	0.234061329733375	0.431553018129099	0.999858517549214
MFSD4	0.183771317394842	0.419017489966715	0.78834389685166	-0.762811128837676	0.00131868324683461	0.0377693304847426	-0.946582446232518	0.000133413036683003	0.438209627908582	0.312640092644888	0.0877156677580968	0.79289394404573	0.043966975309684	0.818231162123332	0.963528258442364	-0.268673117335204	0.152606008930814	0.999858517549214
MKI67	2.14861310678302	0.000503797708848679	0.0561278250590549	2.10612389884942	0.000118878611512224	0.0114380689746748	-0.0424892079335943	0.928229444189012	0.994865855096536	0.557483762430739	0.0754319237061332	0.758421114268516	0.867770183283939	0.00878928958191385	0.137824179873894	0.3102864208532	0.32131029471378	0.999858517549214
MKNK2	-0.627456940742274	0.00265728028724521	0.123216470150917	-0.531291241754797	0.00544135023902863	0.077755905721829	0.0961656989874768	0.592525884536577	0.976169718570582	-0.211399497412792	0.0785260250384839	0.767839985214901	-0.288295055230472	0.024695604012308	0.235656833216918	-0.0768955578176808	0.52988599069612	0.999858517549214
MLXIPL	-0.586886952103523	0.0329774519348957	0.351883836671825	-0.903314650510972	0.00105151790872108	0.0332839527751556	-0.316427698407449	0.215145372571323	0.939100828539374	-0.219740123883763	0.197672231195578	0.930333737365765	-0.389682949713422	0.0332562242153553	0.274650785594402	-0.169942825829659	0.332255291753681	0.999858517549214
MMP14	0.280205655305278	0.106053535389426	0.52503550462736	0.457281413498618	0.00681774552763417	0.0885806074109237	0.17707575819334	0.272033064172961	0.962939555184773	0.198966086502526	0.0829116218181907	0.783537286287389	0.287797526819082	0.0183885309377118	0.203161889395268	0.0888314403165557	0.445276408375337	0.999858517549214
MMP25	0.70520508120836	0.0279548792226471	0.3361566375773	1.28448902437715	7.72686277537863e-05	0.00913715594763333	0.579283943168791	0.0465042268491484	0.888192877389982	0.11806399000127	0.609492845565721	0.992329621541324	0.727481757781563	0.00365490284894607	0.0922603756390873	0.609417767780293	0.0111992009265734	0.871273352959705
MMP7	4.19837148502139	8.41290371596259e-06	0.00784779124808532	3.23396203752491	0.000111154712576848	0.0110972044030418	-0.964409447496474	0.110954808688434	0.923598043043093	1.62666440670565	0.00179016945405689	0.2521418237169	1.30802976051853	0.0144241415302657	0.178581917150181	-0.318634646187119	0.508690697323044	0.999858517549214
MMP9	4.08722877077239	3.3397213098214e-07	0.00266080476195586	3.25053881956082	3.16016049794434e-06	0.00230685111373093	-0.836689951211562	0.107574817429586	0.923598043043093	1.30139035302154	0.00447861230550648	0.350340677986241	1.2487825539673	0.00840521613130226	0.135521021587033	-0.0526077990542329	0.905760667407149	0.999858517549214
MNDA	2.00258839062737	0.000948566521906712	0.0778224471352607	1.70896867758751	0.0013151740283796	0.0377693304847426	-0.293619713039859	0.532142923012257	0.973272449974263	0.451704351758379	0.243588538048885	0.952942226868047	0.981202260505796	0.0176040863801198	0.198125990350803	0.529497908747417	0.177034859907189	0.999858517549214
